restaurantID,name,street,restaurantZIP,#CommissionableOrders,AvgBasketSize€,#NegativeComments,#PositiveComments,%KillRate,AvgTimetoAccept(s),Month
7036,Brau 32,"Leonhardstraße, 32",8010,32,25.02,0,1,8.30%,316,1
7052,YA HABIBI - marokkanische Küche,"Jakoministraße, 13a",8010,0,,0,0,,,1
7061,Ralf's Come In,"Neuholdaugasse, 19",8010,0,,0,0,,,1
7071,Crazy Dogs,"Shopping City Seiersberg, 9",8055,0,,0,0,7.60%,,1
7096,Cooking Wu,"Straßganger Straße, 207",8052,5,17.72,0,0,9.10%,"1,333",1
7117,Dionysos,"Prokopigasse, 1",8010,0,,0,0,5.60%,,1
7118,Das O,"Neue Stiftingtalstraße, 2",8010,0,,0,0,,,1
7151,Area 5,"Jakominiplatz, 12",8010,0,,0,0,4.80%,,1
7187,Subway,"Kärntner Straße, 30",8020,24,14.77,0,1,5.30%,16,1
7200,Subway,"Triester Straße, 360",8055,5,14.38,0,0,7.60%,16,1
7204,EYE Aseda Ghana & Asia Kitchen ,"Griesgasse, 50",8020,2,31.5,0,0,,36,1
7211,Ugarit,"Annenstraße, 16",8020,0,,0,0,,,1
7264,Tasty Donuts,"Shopping City Seiersberg, 1-9",8055,0,,0,0,,,1
7297,Mr. Falafel ,"Heinrichstraße, 21",8010,48,13.53,0,1,13.80%,246,1
7305,Campusbeißl,"Leechgasse, 29",8010,24,15.38,0,0,6.90%,274,1
7357,Ferdls Restaurant,"Erzherzog Johann-Straße, 84",8054,17,24.36,0,1,7.70%,486,1
7358,Best Food Grill 4,"Annenstraße, 16",8020,9,21.92,0,1,4.40%,515,1
7359,Pho You,"Münzgrabenstraße, 36/4",8010,5,,0,0,22.70%,,1
7380,Pizza Galerie,"Kasernstraße, 1",8010,355,19.63,2,1,8.90%,16,1
7384,Pyramidana,"Alleegasse, 16",8054,55,19.46,1,0,15.80%,34,1
7409,Torino Burger Pizza Kebap,"Steyrergasse, 37",8010,66,10.82,0,0,6.00%,484,1
7462,Don Camillo Murpark,"Ostbahnstraße, 3",8041,51,24.56,1,1,14.80%,885,1
7469,Mur Kebap & Pizzeria,"Leonhardstraße, 93",8010,75,11.43,0,1,4.20%,426,1
7510,Uhrturmbäckerei,"Herrengasse, 23",8010,0,,0,0,,,1
7518,Geidorfstand'l,"Geidorfplatz, 5",8010,13,13.42,0,1,2.90%,492,1
7524,Best Food Grill 6,"Tummelplatz, 3",8010,5,12.9,0,0,2.50%,509,1
7535,Himalaya Masala,"Grazbachgasse, 35",8010,192,31.83,0,1,9.30%,201,1
7537,Humuhumu Poke Bar,"Enge Gasse, 4",8010,160,23.22,1,1,10.30%,562,1
7538,Zushi Market,"Shopping City Seiersberg, 3, top 1/1/6b + 6c",8055,0,,0,0,,,1
7542,Chin Chin Asian Special,"Puchstraße, 47",8020,720,26.84,1,1,10.20%,16,1
7545,Mamacita - California Burritos,"Kasernstraße, 1",8010,"1,010",21.69,10,1,11.00%,17,1
7547,Captain's Riff,"Münzgrabenstraße, 129a",8010,50,15.8,0,1,5.60%,297,1
7549,Gaisberg Stubn,"Gaisbergweg, 7",8020,98,24.21,0,1,10.80%,427,1
7561,Horosh,"Plüddemanngasse, 15",8010,13,12.35,0,1,9.80%,452,1
7576,Pizzeria Nero & Kebap,"Algersdorfer Straße, 46",8020,38,11.98,1,0,4.80%,325,1
7645,BraSilva Brasilianisches Restaurant,"Kalvariengürtel, 45",8020,2,,0,0,11.50%,,1
7646,Pizzeria Don Daniele,"Puchstraße, 21",8020,210,21.14,0,1,8.30%,13,1
7670,Sultan Pizza Kebap,"Eggenberger Gürtel, 20",8020,85,14.85,1,1,7.60%,27,1
7694,MC Döner,"Eggenberger Straße, 46",8020,106,11.75,0,1,3.20%,299,1
7702,Pierogi,"Neutorgasse, 28",8010,14,20.61,0,1,13.60%,491,1
7703,Indisches Restaurant Ganesha,"Pestalozzistraße, 6",8010,37,28.08,0,0,11.40%,327,1
7720,Café-Bar Tick-Tack,"Maygasse, 12",8010,194,18.29,1,1,1.90%,372,1
7725,Babo Chicken,"Sparkassenplatz, 2",8010,181,23.99,4,1,5.90%,472,1
7780,Propeller,"Zinzendorfgasse, 17",8010,128,18.32,0,1,3.90%,375,1
7781,Restaurant Brandhof,"Gleisdorfer Gasse, 10",8010,10,22.15,0,1,,533,1
7810,Santa Lucia,"Stockergasse, 10",8020,0,,0,0,9.40%,,1
7812,Zu den 3 goldenen Kugeln,"Riesplatz, 1",8010,0,,0,0,,,1
7953,Die goldene Banane,"Brockmanngasse, 89",8010,0,,0,0,10.80%,,1
7963,Sägewerk Klassik,"Schlögelgasse, 1",8010,120,14.05,1,1,6.80%,438,1
7977,Café Erde,"Andreas-Hofer-Platz, 3",8010,240,18.57,0,1,4.90%,360,1
7983,Akdag Döner Kebap,"Keplerstraße, 32",8020,144,10.06,1,1,3.30%,465,1
7989,Rosamunde Grill,"Heinrichstraße, 17",8010,72,15.26,0,1,5.20%,196,1
7990,Burgerland,"Conrad-von-Hötzendorf-Straße, 42",8010,324,21.75,1,1,7.70%,18,1
7992,Rosamunde Grill,"Leonhardstraße, 42",8010,230,16.79,1,1,8.90%,33,1
7998,LIKE PIZZA KEBAP BURGER,"Rudersdorfer Straße, 65a",8055,43,16.7,0,0,4.80%,18,1
8030,Ali mit Alles,"Heinrichstraße, 29",8010,285,11.38,0,1,5.10%,382,1
8032,Arena Grill & Fast Food,"Griesplatz, 28",8020,82,14.66,0,1,4.60%,412,1
8035,Nangfha Cafe Thai Style,"Conrad-von-Hötzendorf-Straße, 20",8010,28,19.72,2,0,8.30%,387,1
8036,Zur Steirerstub'n,"Lendplatz, 8",8020,43,24.95,0,1,11.80%,283,1
8037,Heinz,"Liebenauer Hauptstraße, 2-6",8041,104,27.72,0,1,9.70%,334,1
8060,Wilding - Fett Essen,"Dietrichsteinplatz, 1",8010,489,17.03,0,1,3.30%,451,1
8085,Kostes,"Stiftingtalstraße, 3-7",8010,35,24.39,0,1,12.90%,670,1
8096,Cofeba,"Goethestraße, 42",8010,0,,0,0,,,1
8099,Gösser Bräu,"Neutorgasse, 48",8010,10,26.42,0,0,4.10%,322,1
